epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
113,1951.3,0.4865,0.32824,0.94274,0.98912,0.94118,0.98758,0.85706,0.55542,0.28335,0.96552,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
114,1968.65,0.46398,0.32092,0.92686,0.98279,0.94962,0.9865,0.86426,0.5323,0.26856,0.95743,0.0266439,0.0088813,0.0266439,0.0088813,0.0266439,0.0088813,0.0266439,0.0088813
115,1986.01,0.48093,0.31849,0.94577,0.98744,0.94885,0.98464,0.85023,0.55282,0.27748,0.9769,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
116,2003.36,0.47531,0.32911,0.9461,0.98735,0.94896,0.98674,0.85452,0.55071,0.27623,0.97217,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
117,2020.69,0.47296,0.31726,0.93855,0.97722,0.94323,0.98424,0.8557,0.54036,0.29196,0.96333,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
118,2037.92,0.48132,0.31665,0.95026,0.98314,0.93664,0.98033,0.85895,0.54394,0.29846,0.96918,0.0265251,0.0088417,0.0265251,0.0088417,0.0265251,0.0088417,0.0265251,0.0088417
119,2055.29,0.47898,0.31976,0.9446,0.98711,0.95579,0.9818,0.85254,0.54653,0.30399,0.98197,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
120,2072.63,0.47792,0.33653,0.94581,0.98793,0.94665,0.98709,0.85398,0.5609,0.28213,0.97207,0.0264657,0.0088219,0.0264657,0.0088219,0.0264657,0.0088219,0.0264657,0.0088219
121,2089.89,0.47968,0.31453,0.94103,0.97929,0.96028,0.98223,0.85722,0.54472,0.28869,0.96376,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
122,2107.21,0.48011,0.32206,0.94198,0.98511,0.94524,0.98362,0.85697,0.53204,0.28051,0.93855,0.0264063,0.0088021,0.0264063,0.0088021,0.0264063,0.0088021,0.0264063,0.0088021
123,2124.58,0.47113,0.3175,0.93838,0.98936,0.96021,0.98281,0.84877,0.55069,0.28094,0.94327,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
124,2141.98,0.479,0.31836,0.94409,0.98142,0.95705,0.98337,0.84614,0.54597,0.28191,0.96311,0.0263469,0.0087823,0.0263469,0.0087823,0.0263469,0.0087823,0.0263469,0.0087823
125,2159.26,0.4649,0.30732,0.93923,0.9671,0.9701,0.98636,0.85832,0.54557,0.27797,0.97286,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
126,2176.64,0.46045,0.30937,0.93837,0.99286,0.94922,0.98685,0.85943,0.54708,0.2742,0.97795,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
127,2193.9,0.45889,0.30288,0.92758,0.98498,0.97221,0.98912,0.86234,0.55091,0.26498,0.96811,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
